title,subtitle,subtitle_truncated_flag,category,author,author_id,published_date,reading_time_minutes,word_count,claps,voters,responses,url,tags
Ultimate Guide to Sql #1,"Learn sql with real-world examples, best practices, and production-ready techniques.",False,sql,Alice Johnson,1380,2023-07-18,10,1514,9144,839,346,https://medium.com/@demo/post-1,career;databricks;machine-learning
Hands-on Guide to Snowflake #2,"Learn snowflake with real-world examples, best practices, and production-ready techniques.",False,snowflake,Alice Johnson,1016,2022-07-11,9,1552,33118,4931,13,https://medium.com/@demo/post-2,databricks;programming;career
Complete Guide to Cloud Computing #3,"Learn cloud computing with real-world examples, best practices, and production-ready techniques.",False,cloud-computing,Michael Chen,1302,2023-07-24,3,1253,45753,3462,174,https://medium.com/@demo/post-3,software-engineering;data-science;programming
Ultimate Guide to Python #4,"Learn python with real-world examples, best practices, and production-ready techniques.",False,python,Bob Smith,1195,2022-07-18,14,2008,39565,2166,413,https://medium.com/@demo/post-4,artificial-intelligence;big-data;databricks
Hands-on Guide to Machine Learning #5,"Learn machine learning with real-world examples, best practices, and production-ready techniques.",False,machine-learning,Bob Smith,1283,2023-08-24,14,2964,12601,569,23,https://medium.com/@demo/post-5,sql;programming;software-engineering
Complete Guide to Machine Learning #6,"Learn machine learning with real-world examples, best practices, and production-ready techniques.",False,machine-learning,Bob Smith,1195,2023-07-24,17,3203,23909,1332,189,https://medium.com/@demo/post-6,python;programming;software-engineering
Advanced Guide to Career #7,"Learn career with real-world examples, best practices, and production-ready techniques.",False,career,Bob Smith,1312,2022-12-17,10,1269,30294,3108,138,https://medium.com/@demo/post-7,sql;databricks;programming
Practical Guide to Sql #8,"Learn sql with real-world examples, best practices, and production-ready techniques.",False,sql,Alice Johnson,1118,2022-03-07,13,2243,17546,542,108,https://medium.com/@demo/post-8,snowflake;python;programming
Hands-on Guide to Sql #9,"Learn sql with real-world examples, best practices, and production-ready techniques.",False,sql,Sarah Kim,1453,2024-07-28,7,1684,9150,2020,381,https://medium.com/@demo/post-9,databricks;career;software-engineering
Beginner Guide to Career #10,"Learn career with real-world examples, best practices, and production-ready techniques.",False,career,Sarah Kim,1460,2025-04-10,15,2082,14373,1133,260,https://medium.com/@demo/post-10,big-data;machine-learning;artificial-intelligence
Complete Guide to Machine Learning #11,"Learn machine learning with real-world examples, best practices, and production-ready techniques.",False,machine-learning,Carol Lee,1406,2024-05-14,5,2176,25009,4881,239,https://medium.com/@demo/post-11,databricks;software-engineering;career
Advanced Guide to Artificial Intelligence #12,"Learn artificial intelligence with real-world examples, best practices, and production-ready techniques.",False,artificial-intelligence,Bob Smith,1350,2025-01-04,11,3225,22293,913,150,https://medium.com/@demo/post-12,cloud-computing;data-science;big-data
Advanced Guide to Artificial Intelligence #13,"Learn artificial intelligence with real-world examples, best practices, and production-ready techniques.",False,artificial-intelligence,Emma Wilson,1498,2024-10-22,8,2679,6973,2444,430,https://medium.com/@demo/post-13,sql;databricks;snowflake
Complete Guide to Programming #14,"Learn programming with real-world examples, best practices, and production-ready techniques.",False,programming,John Patel,1391,2022-11-27,3,3053,21243,4002,9,https://medium.com/@demo/post-14,machine-learning;python;software-engineering
Ultimate Guide to Programming #15,"Learn programming with real-world examples, best practices, and production-ready techniques.",False,programming,David Brown,1450,2025-03-07,5,950,47966,3981,417,https://medium.com/@demo/post-15,machine-learning;databricks;data-science
Advanced Guide to Data Science #16,"Learn data science with real-world examples, best practices, and production-ready techniques.",False,data-science,Michael Chen,1485,2025-01-30,8,1685,34581,4969,216,https://medium.com/@demo/post-16,programming;databricks;career
Practical Guide to Career #17,"Learn career with real-world examples, best practices, and production-ready techniques.",False,career,Sarah Kim,1344,2024-02-04,17,2719,29588,991,126,https://medium.com/@demo/post-17,programming;machine-learning;python
Beginner Guide to Artificial Intelligence #18,"Learn artificial intelligence with real-world examples, best practices, and production-ready techniques.",False,artificial-intelligence,David Brown,1302,2023-03-28,3,890,46389,482,117,https://medium.com/@demo/post-18,machine-learning;artificial-intelligence;python
Beginner Guide to Machine Learning #19,"Learn machine learning with real-world examples, best practices, and production-ready techniques.",False,machine-learning,David Brown,1143,2024-09-21,9,2808,8671,4677,295,https://medium.com/@demo/post-19,big-data;programming;career
Complete Guide to Cloud Computing #20,"Learn cloud computing with real-world examples, best practices, and production-ready techniques.",False,cloud-computing,Bob Smith,1050,2024-06-01,14,2334,26941,3825,442,https://medium.com/@demo/post-20,career;artificial-intelligence;machine-learning
Hands-on Guide to Artificial Intelligence #21,"Learn artificial intelligence with real-world examples, best practices, and production-ready techniques.",False,artificial-intelligence,John Patel,1410,2022-08-12,10,1384,12465,4393,229,https://medium.com/@demo/post-21,data-science;cloud-computing;career
Hands-on Guide to Software Engineering #22,"Learn software engineering with real-world examples, best practices, and production-ready techniques.",False,software-engineering,David Brown,1448,2022-06-04,17,2854,6416,414,333,https://medium.com/@demo/post-22,databricks;artificial-intelligence;machine-learning
Complete Guide to Programming #23,"Learn programming with real-world examples, best practices, and production-ready techniques.",False,programming,Sarah Kim,1249,2024-09-12,9,2242,3842,1348,194,https://medium.com/@demo/post-23,artificial-intelligence;cloud-computing;software-engineering
Practical Guide to Big Data #24,"Learn big data with real-world examples, best practices, and production-ready techniques.",False,big-data,Sarah Kim,1357,2025-02-12,18,1234,12445,2430,111,https://medium.com/@demo/post-24,artificial-intelligence;snowflake;databricks
Advanced Guide to Artificial Intelligence #25,"Learn artificial intelligence with real-world examples, best practices, and production-ready techniques.",False,artificial-intelligence,John Patel,1030,2022-04-13,18,2659,34807,1289,29,https://medium.com/@demo/post-25,databricks;machine-learning;data-science
Beginner Guide to Machine Learning #26,"Learn machine learning with real-world examples, best practices, and production-ready techniques.",False,machine-learning,Bob Smith,1346,2023-04-27,15,1091,37334,2016,296,https://medium.com/@demo/post-26,snowflake;artificial-intelligence;career
Hands-on Guide to Machine Learning #27,"Learn machine learning with real-world examples, best practices, and production-ready techniques.",False,machine-learning,John Patel,1479,2023-06-19,9,3343,46936,2573,122,https://medium.com/@demo/post-27,software-engineering;cloud-computing;data-science
Advanced Guide to Sql #28,"Learn sql with real-world examples, best practices, and production-ready techniques.",False,sql,Emma Wilson,1235,2023-10-10,5,638,30034,4612,51,https://medium.com/@demo/post-28,machine-learning;databricks;programming
Practical Guide to Databricks #29,"Learn databricks with real-world examples, best practices, and production-ready techniques.",False,databricks,Carol Lee,1478,2023-12-16,5,1600,24217,2334,80,https://medium.com/@demo/post-29,big-data;databricks;software-engineering
Advanced Guide to Snowflake #30,"Learn snowflake with real-world examples, best practices, and production-ready techniques.",False,snowflake,Alice Johnson,1342,2025-02-09,12,3317,6788,1100,135,https://medium.com/@demo/post-30,machine-learning;career;databricks
Practical Guide to Data Science #31,"Learn data science with real-world examples, best practices, and production-ready techniques.",False,data-science,Emma Wilson,1310,2023-03-08,13,1433,45055,2162,258,https://medium.com/@demo/post-31,big-data;software-engineering;artificial-intelligence
Advanced Guide to Machine Learning #32,"Learn machine learning with real-world examples, best practices, and production-ready techniques.",False,machine-learning,Sarah Kim,1425,2023-07-21,4,614,21859,1071,326,https://medium.com/@demo/post-32,software-engineering;data-science;big-data
Advanced Guide to Databricks #33,"Learn databricks with real-world examples, best practices, and production-ready techniques.",False,databricks,Sarah Kim,1288,2022-01-20,6,908,45286,1221,279,https://medium.com/@demo/post-33,artificial-intelligence;python;snowflake
Complete Guide to Databricks #34,"Learn databricks with real-world examples, best practices, and production-ready techniques.",False,databricks,Sarah Kim,1066,2022-03-27,12,2093,2614,2931,107,https://medium.com/@demo/post-34,sql;programming;machine-learning
Beginner Guide to Python #35,"Learn python with real-world examples, best practices, and production-ready techniques.",False,python,Sarah Kim,1499,2022-11-13,10,1265,11603,3377,12,https://medium.com/@demo/post-35,data-science;python;cloud-computing
Advanced Guide to Sql #36,"Learn sql with real-world examples, best practices, and production-ready techniques.",False,sql,David Brown,1137,2022-11-23,6,2166,2537,3855,113,https://medium.com/@demo/post-36,programming;big-data;python
